age,income,credit_score,employment_type,default
56,45250.4,748,Salaried,0
69,69058.35,819,Salaried,0
46,52575.61,826,Salaried,0
32,34880.88,813,Salaried,0
60,33608.12,703,Self-Employed,1
25,64092.48,750,Salaried,0
38,32698.44,791,Salaried,0
56,59746.39,794,Salaried,0
36,61669.83,639,Salaried,0
40,40069.67,841,Self-Employed,0
28,68361.07,737,Salaried,0
28,29233.1,688,Self-Employed,1
41,59446.88,779,Salaried,0
53,54387.13,840,Salaried,0
57,53215.03,799,Unemployed,0
41,37331.55,846,Salaried,0
20,40944.67,802,Self-Employed,0
39,79282.03,660,Salaried,0
19,73227.33,791,Self-Employed,0
41,66131.27,604,Salaried,0
61,69097.72,721,Salaried,0
47,67690.2,836,Self-Employed,0
55,50149.66,780,Self-Employed,0
19,55714.05,654,Self-Employed,0
38,32912.37,636,Self-Employed,1
50,53654.57,655,Self-Employed,0
29,72751.21,786,Salaried,0
39,45089.39,836,Salaried,0
61,70347.12,701,Salaried,0
42,56373.79,692,Salaried,0
66,34219.42,796,Salaried,0
44,38390.21,672,Salaried,1
59,68789.54,658,Salaried,0
45,63287.86,839,Salaried,0
33,56526.46,601,Salaried,0
32,50889.52,792,Salaried,0
64,58158.52,703,Salaried,0
68,68204.44,787,Self-Employed,0
61,77137.8,650,Self-Employed,0
69,77855.26,629,Salaried,0
20,60579.4,610,Salaried,0
54,52421.02,819,Salaried,0
68,57193.72,707,Salaried,0
24,62831.81,675,Salaried,0
38,62771.0,766,Salaried,0
26,74619.8,689,Salaried,0
56,86736.34,804,Salaried,0
35,51921.18,722,Unemployed,0
21,87338.27,799,Unemployed,0
42,72583.59,790,Salaried,0
31,53487.66,791,Salaried,0
67,77478.47,788,Salaried,0
26,80284.72,724,Salaried,0
43,48095.57,781,Self-Employed,0
19,80983.23,819,Salaried,0
37,71126.24,721,Self-Employed,0
45,90528.39,693,Salaried,0
64,48639.42,800,Unemployed,0
24,49698.6,702,Salaried,0
61,24600.07,822,Self-Employed,1
25,63567.91,785,Salaried,0
64,60628.77,812,Salaried,0
52,46555.09,783,Salaried,0
31,53772.24,838,Salaried,0
34,35331.68,761,Self-Employed,0
53,72976.67,846,Self-Employed,0
67,47654.51,630,Self-Employed,1
57,101410.74,651,Salaried,0
21,52365.98,688,Self-Employed,0
19,43605.72,675,Salaried,0
23,48815.3,728,Salaried,0
59,33820.59,782,Salaried,1
21,62234.08,621,Salaried,0
46,48701.5,639,Salaried,0
35,71968.79,700,Salaried,0
43,50878.79,710,Salaried,0
61,75766.63,728,Self-Employed,0
51,66361.84,664,Salaried,0
27,55428.95,848,Salaried,0
53,78703.49,790,Salaried,0
31,69284.4,833,Salaried,0
48,99193.19,781,Salaried,0
65,48858.17,769,Salaried,0
32,56149.24,748,Salaried,0
25,78530.64,678,Salaried,0
31,31846.93,808,Salaried,0
40,74754.15,621,Self-Employed,0
57,61589.54,765,Salaried,0
38,41676.84,698,Salaried,1
33,34554.41,836,Self-Employed,0
62,44912.66,807,Salaried,0
35,20727.71,607,Salaried,1
64,47656.91,789,Self-Employed,0
41,64338.35,774,Salaried,0
43,47855.49,616,Salaried,1
42,75824.69,616,Salaried,0
62,79899.21,845,Salaried,0
58,74134.67,689,Salaried,0
46,58459.61,740,Salaried,0
32,20129.81,744,Salaried,1
62,44444.54,765,Salaried,0
18,52869.42,680,Salaried,0
42,41591.99,839,Salaried,0
24,52907.42,677,Salaried,0
26,79151.01,772,Salaried,0
41,30313.35,605,Salaried,1
18,82175.38,762,Self-Employed,0
61,68270.9,709,Salaried,0
25,59023.25,613,Salaried,0
41,44295.75,838,Salaried,0
28,41890.74,671,Salaried,1
68,30606.73,788,Self-Employed,1
34,80751.48,742,Salaried,0
25,78064.17,653,Unemployed,0
52,33905.73,626,Salaried,1
52,46710.58,612,Self-Employed,1
50,61497.17,840,Salaried,0
22,50507.36,758,Self-Employed,0
59,26219.88,844,Salaried,1
56,45133.41,847,Salaried,0
58,84265.51,762,Salaried,0
45,46150.32,659,Salaried,1
24,52547.99,605,Self-Employed,1
26,37822.34,796,Salaried,0
25,63816.44,813,Salaried,0
29,56727.28,657,Self-Employed,0
51,43869.7,648,Salaried,1
50,35430.17,750,Unemployed,0
65,76068.15,816,Self-Employed,0
40,30916.85,761,Salaried,1
41,62557.24,625,Self-Employed,0
54,22691.81,646,Salaried,1
52,65608.18,604,Salaried,0
61,69554.48,817,Salaried,0
57,71421.76,619,Salaried,0
39,52581.87,733,Self-Employed,0
44,78760.05,797,Self-Employed,0
52,89616.88,658,Salaried,0
18,50175.65,791,Salaried,0
